Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
122,CBRE Group,23826.20,-0.003,752,-0.414,"18,039.10",26549.10,6,100000,6,126
123,Massachusetts Mutual Life Insurance,23663.10,-0.365,-100.5,-1.027,"322,936.30",-,-34,9974,-34,-
124,Qualcomm,23531.00,-0.031,"5,198",0.185,"35,594",150622.20,2,41000,2,78
125,Starbucks,23518.00,-0.113,928.3,-0.742,"29,374.50",128643.60,-11,349000,-11,299
126,Duke Energy,23453.00,-0.049,"1,377",-0.633,"162,388",74252.50,-3,27535,-3,184
127,Plains GP Holdings,23290.00,-0.308,-568,-2.716,"25,951",1824.50,-29,4400,-29,452
128,US Foods Holding,22885.00,-0.118,-226,-1.587,"12,423",8427.50,-12,26000,-12,343
129,Lennar,22488.90,0.01,"2,465",0.333,"29,935.20",30893.20,18,9495,18,399
130,Danaher,22284.00,0.086,"3,646",0.212,"76,161",160497.20,31,69000,31,124
131,Aflac,22147.00,-0.007,"4,778",0.446,"165,086",35191.40,15,12003,15,63
132,Rite Aid,21928.40,0.012,-452.2,-,"9,452.40",1129.90,18,39920,18,108
133,Visa,21846.00,-0.049,"10,866",-0.1,"80,919",452525.40,4,20500,4,14
134,PayPal Holdings,21454.00,0.207,"4,202",0.709,"70,379",284408.30,48,26500,48,101
135,Micron Technology,21435.00,-0.084,"2,687",-0.574,"53,678",98678.00,-1,40000,-1,150
136,CarMax,21424.10,0.119,888.4,0.055,"21,082.20",21562.70,37,27050,37,370
137,Salesforce,21252.00,0.243,"4,072",31.317,"66,301",195132.30,53,56606,53,45
138,Altria Group,20841.00,0.053,"4,467",-,"47,414",95090.60,29,7100,29,114
139,Lumen Technologies,20712.00,-0.075,"-1,232",-,"59,394",14642.90,4,39000,4,343
140,Baker Hughes,20705.00,-0.131,"-9,940",-78.656,"38,007",22494.80,-11,55000,-11,180
141,International Paper,20580.00,-0.08,482,-0.607,"31,718",21240.60,3,49300,3,328
142,Hartford Financial Services Group,20523.00,-0.01,"1,737",-0.167,"74,111",23863.30,18,18500,18,195
143,Penske Automotive Group,20443.90,-0.118,543.6,0.247,"13,247.20",6485.50,-7,23600,-7,399
144,DuPont,20397.00,-0.052,"-2,951",-6.926,"70,904",41308.10,8,34000,8,238
145,AutoNation,20390.00,-0.044,381.6,-0.152,"9,887.20",7683.20,9,21600,9,399
146,Southern,20375.00,-0.049,"3,119",-0.342,"122,935",65678.90,7,27700,7,242
