Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
332,Voya Financial,9133.00,0.021,-206,-,"180,518",7878.50,21,5970,21,148
333,NRG Energy,9093.00,-0.079,510,-0.885,"14,902",9232.10,-9,4104,-9,266
334,Interpublic Group,9061.00,-0.114,351.1,-0.465,"18,042.70",11407.80,-26,50200,-26,-
335,Campbell Soup,9050.00,-0.087,"1,628",6.716,"12,372",15232.30,-13,14500,-13,76
336,Southwest Airlines,9048.00,-0.597,"-3,074",-2.337,"34,588",36066.80,-195,56537,-195,208
337,News Corp.,9008.00,-0.106,"-1,269",-9.187,"14,261",14628.80,-19,23500,-19,399
338,Eversource Energy,8904.40,0.044,"1,205.20",0.326,"46,099.60",29728.20,33,9299,33,193
339,Alleghany,8896.70,-0.016,101.8,-0.881,"28,927",8750.30,12,10407,12,372
340,Air Products & Chemicals,8856.30,-0.007,"1,886.70",0.072,"25,168.50",62254.00,15,19138,15,93
341,Auto-Owners Insurance,8853.20,-0.115,829.4,-0.387,"29,755.60",-,-21,6329,-21,-
342,CenterPoint Energy,8835.00,-0.282,-773,-1.977,"33,471",12493.30,-82,9541,-82,369
343,Reliance Steel & Aluminum,8811.90,-0.197,369.1,-0.474,"8,106.80",9685.90,-52,13000,-52,399
344,EMCOR Group,8797.10,-0.041,132.9,-0.591,"5,063.80",6146.00,-,33000,-,399
345,Owens & Minor,8706.90,-0.098,29.9,-,"3,335.60",2763.00,-13,18800,-13,399
346,Mosaic,8681.70,-0.025,666.1,-,"19,789.80",11983.10,10,12617,10,267
347,Erie Insurance Group,8666.00,0.026,"1,173.10",1.129,"25,381.10",-,29,5849,29,-
348,Genworth Financial,8658.00,-0.003,178,-0.481,"105,747",1679.20,16,3000,16,307
349,Amphenol,8598.90,0.045,"1,203.40",0.042,"12,327.30",39526.20,37,80000,37,210
350,Builders FirstSource,8558.90,0.176,313.5,0.414,"4,173.70",9572.20,75,26000,75,399
351,Oneok,8542.20,-0.16,612.8,-0.521,"23,078.80",22542.90,-38,2886,-38,202
352,United Rentals,8530.00,-0.088,890,-0.242,"17,868",23819.00,-12,18250,-12,233
353,Brighthouse Financial,8503.00,0.297,"-1,061",-,"247,869",3866.50,104,1400,104,399
354,Regeneron Pharmaceuticals,8497.10,0.081,"3,513.20",0.66,"17,163.30",50688.40,51,9123,51,174
355,Eastman Chemical,8473.00,-0.086,478,-0.37,"16,083",15033.20,-12,14500,-12,171
356,CommScope Holding,8435.90,0.011,-573.4,-,"13,576.80",3124.20,25,30000,25,235
357,Ryder System,8420.10,-0.057,-122.3,-,"12,932",4072.00,-3,39000,-3,399
358,Fifth Third Bancorp,8402.00,-0.142,"1,427",-0.432,"204,680",26628.60,-33,19872,-33,177
359,Constellation Brands,8343.50,0.028,-11.8,-1.003,"27,323.20",44247.50,33,9000,33,386
360,Insight Enterprises,8340.60,0.079,172.6,0.083,"4,310.70",3349.50,49,11006,49,292
361,Global Partners,8321.60,-0.364,102.2,1.85,"2,540.50",726.10,-115,2958,-115,399
362,Univar Solutions,8265.00,-0.125,52.9,-,"6,355",3650.60,-23,9457,-23,373
363,Yum China Holdings,8263.00,-0.058,784,0.1,"10,875",24892.30,-2,271000,-2,294
364,Targa Resources,8260.30,-0.047,"-1,553.90",-,"15,875.70",7259.80,1,2372,1,366
365,Intercontinental Exchange,8244.00,0.259,"2,089",0.081,"126,200",62843.70,94,8890,94,297
366,Andersons,8208.40,0.005,7.7,-0.579,"4,272.10",921.90,24,2294,24,454
367,Raymond James Financial,8168.00,0.018,818,-0.209,"47,482",16877.90,29,14800,29,386
368,Thor Industries,8167.90,0.039,223,0.673,"5,771.50",7460.00,36,22250,36,374
369,Thrivent Financial for Lutherans,8152.70,-0.053,637,-0.342,"110,151.70",-,-1,3386,-1,-
370,Hershey,8149.70,0.02,"1,278.70",0.112,"9,131.80",32765.30,28,16040,28,69
371,Casey's General Stores,8112.30,-0.03,263.8,0.294,"3,943.90",7987.60,7,27218,7,256
372,W.R. Berkley,8098.90,0.025,530.7,-0.222,"28,606.90",13364.20,30,7495,30,130
373,Activision Blizzard,8086.00,0.246,"2,197",0.462,"23,109",72052.10,90,9500,90,399
374,Western & Southern Financial Group,8057.90,0.017,204.4,-0.165,"57,595.40",-,27,2729,27,-
375,American Tower,8041.50,0.061,"1,690.60",-0.104,"47,233.50",106234.50,39,5618,39,367
376,American Financial Group,7909.00,-0.04,732,-0.184,"73,566",9858.20,7,7300,7,399
377,Darden Restaurants,7806.90,-0.083,-52.4,-1.073,"9,946.10",18506.60,-5,177895,-5,334
378,J.M. Smucker,7801.00,-0.005,779.5,0.515,"16,970.40",13865.90,29,7300,29,164
379,Williams,7719.00,-0.059,211,-0.752,"44,165",28777.60,8,4739,8,216
380,Intuit,7679.00,0.132,"1,826",0.173,"10,931",104897.10,65,11950,65,55
381,Citizens Financial Group,7676.00,-0.048,"1,057",-0.41,"183,349",18768.40,14,17584,14,143
382,PPL,7607.00,-0.021,"1,469",-0.159,"48,116",22177.50,26,12318,26,240
383,NVR,7566.00,0.019,901.2,0.026,"5,777.10",17318.00,34,6100,34,330
384,Westinghouse Air Brake Technologies,7556.10,-0.079,414.4,0.268,"18,454.50",14953.00,4,27000,4,158
385,Foot Locker,7548.00,-0.057,323,-0.342,"7,043",5809.40,12,33522,12,196
386,Cincinnati Financial,7536.30,-0.049,"1,216.40",-0.391,"27,541.70",16601.60,14,5266,14,198
387,Weyerhaeuser,7532.00,0.149,797,-,"16,311",26655.30,70,9372,70,396
388,Westlake Chemical,7504.00,-0.076,330,-0.216,"13,835",11350.40,3,9220,3,399
389,Navistar International,7503.00,-0.333,-347,-2.57,"6,637",4390.50,-105,12100,-105,399
390,Magellan Health,7501.50,0.048,382.3,5.839,"3,359.90",2421.00,42,9000,42,399
391,Booz Allen Hamilton Holding,7463.80,0.113,482.6,0.153,"4,794",11089.50,59,27200,59,187
392,Autoliv,7447.40,-0.129,186.9,-0.595,"8,156.80",8112.80,-23,64716,-23,380
393,S&P Global,7442.00,0.111,"2,339",0.102,"12,537",85001.60,58,23000,58,129
394,Global Payments,7423.60,0.511,584.5,0.357,"44,201.50",59484.30,159,24000,-,399
395,Motorola Solutions,7414.00,-0.06,949,0.093,"10,876",31785.80,8,18000,8,212
396,KeyCorp,7337.00,-0.046,"1,343",-0.218,"170,336",19182.00,15,16826,15,99
397,Delek US Holdings,7301.80,-0.215,-608,-2.958,"6,134.10",1609.00,-55,3532,-55,399
398,Masco,7289.00,-0.115,"1,224",0.309,"5,777",15208.80,-14,18000,-14,-
399,Graybar Electric,7265.70,-0.034,121.8,-0.157,"2,551.20",-,16,8200,16,-
400,WEC Energy Group,7241.70,-0.037,"1,199.90",0.058,"37,028.10",29521.50,16,7273,16,312
401,Old Republic International,7166.00,-0.007,558.6,-0.471,"22,815.20",6650.30,26,9000,26,453
402,Frontier Communications,7155.00,-0.117,-402,-,"16,795",29.30,-9,16200,-9,454
403,Chewy,7146.30,0.474,-92.5,-,"1,740.90",35176.90,156,18500,-,454
404,PVH,7132.60,-0.28,"-1,136.10",-3.723,"13,293.50",7522.70,-82,26500,-82,9
405,Asbury Automotive Group,7131.80,-0.011,254.4,0.38,"3,676.30",3798.10,23,7750,23,399
406,Seaboard,7126.00,0.042,283,-,"6,399",4283.30,38,13100,38,-
407,Polaris,7108.30,0.036,124.8,-0.615,"4,632.70",8179.30,35,15000,35,250
408,Dana,7106.00,-0.176,-31,-1.137,"7,376",3529.40,-41,38200,-41,382
409,First American Financial,7086.70,0.143,696.4,-0.016,"12,796",6216.50,67,19597,67,151
410,Cintas,7085.10,0.028,876,-0.01,"7,669.90",35850.90,31,40000,31,343
411,Toll Brothers,7077.70,-0.02,446.6,-0.243,"11,065.70",6984.80,15,4500,15,343
412,Science Applications International,7056.00,0.106,209,-0.075,"5,723",4853.80,54,26134,54,226
413,Owens Corning,7055.00,-0.015,-383,-1.946,"9,481",9662.70,18,19000,18,65
414,Zimmer Biomet Holdings,7024.50,-0.12,-138.9,-1.123,"24,417.70",33347.30,-15,20000,-15,454
415,Xerox Holdings,7022.00,-0.232,192,-0.858,"14,741",4821.30,-68,24700,-68,-
416,Arthur J. Gallagher,7003.60,-0.027,818.8,0.224,"22,331.40",24353.40,13,32401,13,200
417,Avery Dennison,6971.50,-0.014,555.9,0.831,"6,083.90",15246.50,18,32000,18,134
418,Sanmina,6960.40,-0.155,139.7,-0.013,"3,772.70",2686.70,-33,33500,-33,342
419,Jefferies Financial Group,6955.90,0.298,775.2,-0.196,"53,118.40",7524.60,101,4945,-,394
420,Beacon Roofing Supply,6943.90,-0.023,-80.9,-,"6,957.50",3631.40,14,7582,14,399
421,Securian Financial Group,6870.40,0.041,243.3,-0.441,"68,059.30",-,34,6537,34,244
422,Oshkosh,6856.80,-0.182,324.5,-0.44,"5,815.90",8114.50,-45,14400,-45,281
423,FM Global,6798.00,0.008,"1,731.90",-0.301,"27,975.70",-,24,5625,24,-
424,Booking Holdings,6796.00,-0.549,59,-0.988,"21,874",95434.40,-214,20199,-214,290
425,Williams-Sonoma,6783.20,0.15,680.7,0.912,"4,661.40",13653.80,64,16600,64,343
426,Coty,6737.90,-0.221,"-1,006.70",-,"16,728.80",6908.80,-60,18260,-60,165
427,Clorox,6721.00,0.082,939,0.145,"6,213",24262.60,47,8800,47,155
428,Pioneer Natural Resources,6685.00,-0.283,-200,-1.259,"19,229",34397.30,-87,1853,-87,206
429,Dover,6683.80,-0.063,683.5,0.008,"9,152.10",19727.10,4,23000,4,263
430,CMS Energy,6680.00,-0.024,755,0.11,"29,666",17718.70,13,8493,13,197
431,Zoetis,6675.00,0.066,"1,638",0.092,"13,609",74829.20,41,11300,41,381
432,Hanesbrands,6664.40,-0.043,-75.6,-1.126,"7,698.90",6865.00,4,61000,4,330
433,Packaging Corp. of America,6658.20,-0.044,461,-0.338,"7,433.20",12775.00,4,15200,4,390
434,Regions Financial,6655.00,-0.015,"1,094",-0.308,"147,389",19847.50,12,19406,12,89
435,Graphic Packaging Holding,6559.90,0.065,167.3,-0.191,"7,804.60",4862.40,42,18775,42,337
436,UGI,6559.00,-0.104,532,1.077,"13,985",8552.80,-13,11300,-13,287
437,Sprouts Farmers Market,6468.80,0.148,287.5,0.921,"2,806.40",3139.90,65,33000,-,176
438,Avantor,6393.60,0.058,116.6,2.085,"9,906.50",16631.40,46,12400,46,303
439,Veritiv,6345.60,-0.172,34.2,-,"2,335",679.50,-27,6400,-27,399
440,Rockwell Automation,6329.80,-0.055,"1,023.40",0.471,"7,264.70",30832.20,12,23500,12,223
441,MasTec,6321.00,-0.12,322.8,-0.177,"5,227.80",6953.40,-11,18000,-11,322
442,DCP Midstream,6302.00,-0.174,-306,-19,"12,957",4513.10,-29,1837,-29,-
443,Northern Trust,6301.10,-0.086,"1,209.30",-0.19,"170,003.90",21854.20,-3,20900,-3,201
444,M&T Bank,6281.20,-0.095,"1,353.20",-0.299,"142,601.10",19502.20,-6,17046,-6,252
445,Realogy Holdings,6221.00,0.06,-360,-,"6,934",1767.40,45,9335,45,386
446,NCR,6207.00,-0.102,-79,-1.14,"8,414",4943.20,-7,36000,-7,343
447,T. Rowe Price,6206.70,0.105,"2,372.70",0.113,"10,659",39031.00,57,7678,-,119
448,Vertex Pharmaceuticals,6205.70,0.491,"2,711.60",1.304,"11,751.80",55862.80,178,3400,-,98
449,Big Lots,6199.20,0.165,629.2,1.595,"4,037.30",2394.30,77,23900,-,399
450,Ralph Lauren,6159.80,-0.024,384.3,-0.108,"7,279.90",9005.30,19,19300,19,87
451,Ulta Beauty,6152.00,-0.168,175.8,-0.751,"5,090",17377.10,-33,26500,-33,399
452,Taylor Morrison Home,6129.30,0.287,243.4,-0.044,"7,738",3969.20,115,2700,-,291
453,Icahn Enterprises,6123.00,-0.319,"-1,653",-,"24,987",12964.70,-101,23833,-101,-
454,Blackstone Group,6101.90,-0.168,"1,045.40",-0.49,"26,269.30",50966.60,-34,3165,-34,243
455,O-I Glass,6091.00,-0.09,249,-,"8,882",2327.10,-2,25000,-2,-
456,Fortune Brands Home & Security,6090.30,0.057,553.1,0.281,"7,358.70",13264.20,38,27505,38,336
457,NOV,6090.00,-0.282,"-2,542",-,"9,929",5326.30,-83,27631,-83,454
458,Ovintiv,6087.00,-0.095,"-6,097",-27.056,"14,469",6219.60,-9,1916,-9,339
459,Alexion Pharmaceuticals,6069.90,0.216,603.4,-0.749,"18,103",33596.10,88,3837,-,329
460,Huntsman,6025.00,-0.278,"1,034",0.84,"8,713",6390.10,-78,9000,-78,383
461,Equinix,5998.50,0.078,369.8,-0.271,"27,006.80",60679.10,48,10013,-,319
462,ABM Industries,5987.60,-0.079,0.3,-0.998,"3,776.90",3422.20,-,114000,-,85
463,Ingredion,5987.00,-0.036,348,-0.157,"6,858",6034.60,12,12000,12,261
464,Chipotle Mexican Grill,5984.60,0.071,355.8,0.016,"5,982.90",39987.70,42,88000,-,399
465,Sinclair Broadcast Group,5943.00,0.402,"-2,414",-52.362,"13,382",2167.00,157,11600,-,454
466,LPL Financial Holdings,5871.60,0.044,472.6,-0.156,"6,523.60",11358.60,37,4756,-,109
467,Crown Castle International,5840.00,0.013,"1,056",0.228,"38,768",74392.40,29,4900,29,391
468,KLA,5806.40,0.271,"1,216.80",0.035,"9,280",50906.30,120,10600,-,-
469,Ameren,5794.00,-0.02,871,0.052,"32,030",20780.20,19,9183,19,286
470,KBR,5767.00,0.023,-72,-1.356,"5,705",5407.00,31,29000,-,343
471,Burlington Stores,5764.00,-0.209,-216.5,-1.465,"6,781.10",19835.90,-47,35246,-47,221
472,Olin,5758.00,-0.058,-969.9,-,"8,270.90",6024.10,9,8000,9,253
473,CACI International,5720.00,0.147,321.5,0.21,"5,542.50",6223.50,76,22900,-,399
474,Post Holdings,5698.70,0.003,0.8,-0.994,"12,146.70",6804.90,25,10200,25,255
475,Academy Sports and Outdoors,5689.20,0.178,308.8,1.572,"4,384.50",2459.20,-,16500,-,161
476,Arconic,5675.00,-,-109,-,"6,314",2792.70,-,13400,-,269
477,Celanese,5655.00,-0.102,"1,985",1.33,"10,909",17104.50,-7,7658,-7,316
478,Yum Brands,5652.00,0.01,904,-0.301,"5,852",32460.00,27,38000,-,116
479,Fastenal,5647.30,0.059,859.1,0.086,"3,964.70",28877.90,46,20365,-,399
480,Nasdaq,5627.00,0.32,933,0.205,"17,979",24300.80,140,4830,-,95
481,Analog Devices,5603.10,-0.065,"1,220.80",-0.104,"21,468.60",57208.00,6,15900,6,144
482,McCormick,5601.30,0.047,747.4,0.064,"12,089.70",23808.90,41,13000,-,100
483,Carvana,5586.60,0.418,-171.1,-,"3,034.50",45475.40,168,10400,-,343
484,Franklin Resources,5566.50,-0.036,798.9,-0.332,"20,220.90",14960.00,9,11800,9,118
485,Electronic Arts,5537.00,0.119,"3,039",1.982,"11,112",38935.90,65,9800,-,307
486,MDU Resources Group,5532.80,0.037,390.2,0.163,"8,053.40",6359.80,38,12994,-,397
487,Select Medical Holdings,5531.70,0.014,259,0.745,"7,655.40",4598.00,28,42350,-,399
488,Roper Technologies,5527.10,0.03,949.7,-0.463,"24,024.80",42326.30,30,18400,-,399
489,RPM International,5507.00,-0.01,304.4,0.142,"5,631",11949.90,19,14621,-,394
490,Cerner,5505.80,-0.033,780.1,0.473,"7,521.10",22016.40,8,26400,8,330
491,Patterson,5490.00,-0.015,-588.4,-8.036,"2,715.40",3087.50,16,7800,-,270
492,Commercial Metals,5476.50,-0.06,279.5,0.411,"4,081.70",3716.50,-1,11297,-1,399
493,Boise Cascade,5474.80,0.179,175,1.162,"1,965.70",2353.10,86,6040,-,375
494,Hasbro,5465.40,0.158,222.5,-0.572,"10,818.40",13202.20,80,6822,-,72
495,A-Mark Precious Metals,5461.10,0.142,30.5,12.712,758,360.20,70,218,-,399
496,Camping World Holdings,5446.60,0.113,122.3,-,"3,256.40",3452.50,59,11427,-,399
497,NetApp,5412.00,-0.119,819,-0.299,"7,522",16176.40,-19,10800,-19,265
498,Avis Budget Group,5402.00,-0.411,-684,-3.265,"17,538",5067.60,-153,17500,-153,33
499,R.R. Donnelley & Sons,5398.80,-0.14,98.5,-,"3,130.90",289.90,-28,33000,-28,454
500,Moody's,5371.00,0.112,"1,778",0.25,"12,409",55884.80,61,11490,-,110
501,Cleveland-Cliffs,5354.00,1.691,-122,-1.417,"16,771",10033.00,-,25000,-,-
502,Agilent Technologies,5339.00,0.034,719,-0.329,"9,627",38739.20,35,16400,-,-
503,Tutor Perini,5318.80,0.195,108.4,-,"5,045.60",964.80,97,8700,-,-
504,ADT,5314.80,0.037,-632.2,-,"16,116.90",6893.60,37,20500,-,-
505,Microchip Technology,5274.20,-0.014,570.6,0.603,"17,426.10",41794.80,17,18000,-,-
506,Michaels,5271.10,0.039,294.9,0.082,"4,528.40",3108.00,38,28000,-,-
507,Howmet Aerospace,5259.00,-0.629,261,-0.445,"11,443",13932.00,-281,19700,-,-
508,Hertz Global Holdings,5258.00,-0.462,"-1,714",-,"16,908",268.70,-182,24000,-,-
509,ON Semiconductor,5255.00,-0.048,234.2,0.106,"8,668",17138.40,3,32750,-,-
510,Huntington Bancshares,5238.00,-0.074,817,-0.421,"123,038",16071.90,-10,15578,-,-
511,Sonoco Products,5237.40,-0.025,207.5,-0.289,"5,277.30",6367.80,6,20000,-,-
512,Telephone & Data Systems,5225.00,0.009,226,0.868,"12,525",2625.80,24,9200,-,-
513,Chesapeake Energy,5210.00,-0.386,-,-,"6,584",4248.20,-140,1300,-,-
514,Kemper,5205.70,0.033,409.9,-0.228,"14,341.90",5229.20,31,9500,-,-
515,Expedia Group,5199.00,-0.569,"-2,612",-5.623,"18,690",24762.00,-252,19100,-,-
516,TransDigm Group,5182.00,-0.061,699,-0.214,"18,395",32152.70,-3,14200,-,-
517,MGM Resorts International,5162.10,-0.6,"-1,032.70",-1.504,"36,494.90",18805.20,-268,48500,-,-
518,UFP Industries,5154.00,0.167,246.8,0.374,"2,404.90",4683.30,88,12000,-,-
519,Robert Half International,5109.00,-0.159,306.3,-0.326,"2,557.40",8831.70,-37,13000,-,-
520,Devon Energy,5091.00,-0.309,"-2,680",-,"9,912",14707.20,-101,1400,-,-
521,GameStop,5089.80,-0.213,-215.3,-,"2,472.60",13275.20,-57,22000,-,-
522,International Flavors & Fragrances,5084.20,-0.011,363.2,-0.203,"13,555.70",34741.50,18,13700,-,-
523,Resideo Technologies,5071.00,0.017,37,0.028,"5,610",4043.70,25,14700,-,-
524,Watsco,5054.90,0.06,269.6,0.096,"2,484.30",10068.20,42,5800,-,-
525,Amkor Technology,5050.60,0.246,338.1,1.797,"5,022.30",5769.60,114,29050,-,-
526,Coca-Cola Consolidated,5007.40,0.037,172.5,14.164,"3,222.50",2706.90,36,14900,-,-
527,Chemours,4969.00,-0.101,219,-,"7,082",4610.60,-16,6500,-,-
528,Tapestry,4961.40,-0.177,-652.1,-2.014,"7,924.20",11449.70,-43,14850,-,-
529,UWM Holdings,4938.60,2.863,"3,382.50",7.15,"11,493.50",12729.00,-,7500,-,-
530,Silgan Holdings,4921.90,0.096,308.7,0.593,"6,511.60",4625.70,65,15610,-,-
531,Petco Health and Wellness,4920.20,0.11,-26.5,-,"6,075.70",6692.40,-,27081,-,-
532,Evergy,4913.40,-0.046,618.3,-0.077,"27,114.80",13512.90,7,5133,-,-
533,Ingersoll Rand,4910.20,1.003,-33.3,-1.209,"16,058.60",20607.40,348,15900,-,-
534,Sealed Air,4903.20,0.023,502.9,0.912,"6,083.80",7098.40,30,16500,-,-
535,Church & Dwight,4895.80,0.123,785.9,0.276,"7,414.50",21408.40,76,5100,-,-
536,OneMain Holdings,4894.00,0.031,730,-0.146,"22,471",7217.20,34,8300,-,-
537,CME Group,4883.60,0.003,"2,105.20",-0.005,"124,659.60",73330.00,21,4370,-,-
538,Xylem,4876.00,-0.071,254,-0.367,"8,750",18932.70,-8,16150,-,-
539,Vulcan Materials,4856.80,-0.015,584.5,-0.054,"11,686.90",22387.00,12,8847,-,-
540,TravelCenters of America,4846.00,-0.208,-13.9,-1.417,"3,443.90",395.30,-60,16374,-,-
541,Western Union,4835.00,-0.086,744.3,-0.297,"9,496.30",10133.30,-13,11000,-,-
542,Hanover Insurance Group,4827.30,-0.014,358.7,-0.156,"13,443.70",4709.80,12,4300,-,-
543,Hess,4804.00,-0.262,"-3,093",-,"18,821",21722.40,-82,1621,-,-
544,Globe Life,4737.90,0.046,731.8,-0.038,"29,046.70",11203.50,48,3261,-,-
545,Rush Enterprises,4735.90,-0.185,114.9,-0.189,"2,985.40",2685.60,-53,6307,-,-
546,Martin Marietta Materials,4729.90,-0.002,721,0.178,"10,580.80",20917.10,26,8700,-,-
547,American Axle & Manufacturing,4710.80,-0.279,-561.3,-,"5,916.30",1100.40,-87,20000,-,-
548,Windstream Holdings II,4688.90,-0.083,-,-,"9,421.10",-,-5,11945,-,-
549,NiSource,4681.70,-0.101,-17.6,-1.046,"22,040.50",9447.70,-16,7345,-,-
550,PPD,4681.50,0.161,153.7,2.214,"6,293.80",13260.20,91,26000,-,-
551,Knight-Swift Transportation Holdings,4673.90,-0.035,410,0.326,"8,468",7966.10,9,22800,-,-
552,SS&C Technologies Holdings,4667.90,0.008,625.2,0.426,"15,923.60",18005.20,28,24600,-,-
553,Domtar,4647.00,-0.11,-127,-2.512,"4,856",1856.20,-21,6600,-,-
554,Encompass Health,4644.40,0.009,284.2,-0.208,"6,445.90",8129.90,29,35536,-,-
555,FMC,4642.10,-0.004,551.5,0.155,"10,186.40",14325.00,23,6400,-,-
556,Fortive,4634.40,-0.367,"1,613.30",1.183,"16,051.50",23881.50,-134,17000,-,-
557,Cornerstone Building Brands,4617.40,-0.056,-482.8,-,"5,478.50",1757.40,-1,20230,-,-
558,Skechers U.S.A.,4613.40,-0.12,98.6,-0.716,"5,812.40",6579.60,-27,8800,-,-
559,Ingles Markets,4610.60,0.097,178.6,1.189,"1,899.30",1245.30,64,18765,-,-
560,Simon Property Group,4607.50,-0.199,"1,112.60",-0.471,"34,786.80",37338.10,-63,2850,-,-
561,Welltower,4606.00,-0.101,978.8,-0.206,"32,483.60",29897.10,-19,423,-,-
562,Monster Beverage,4598.60,0.095,"1,409.60",0.272,"6,202.70",48108.00,62,3340,-,-
563,Mattel,4583.70,0.018,126.6,-,"5,521.10",6935.50,30,32100,-,-
564,TreeHouse Foods,4570.50,-0.072,13.8,-,"5,485.70",2921.20,-12,10900,-,-
565,Schneider National,4552.80,-0.041,211.7,0.44,"3,516.20",4461.00,6,15225,-,-
566,Ametek,4540.00,-0.12,872.4,0.013,"10,357.50",29480.10,-28,16500,-,-
567,PennyMac Financial Services,4536.00,0.995,"1,646.90",3.191,"31,597.80",4630.40,-,6632,-,-
568,Broadridge Financial Solutions,4529.00,0.038,462.5,-0.041,"4,889.80",17728.80,42,12000,-,-
569,Alliance Data Systems,4521.40,-0.313,213.7,-0.231,"22,547.10",5570.30,-113,8000,-,-
570,ServiceNow,4519.50,0.306,118.5,-0.811,"8,715.10",98071.60,133,13096,-,-
571,Kelly Services,4516.00,-0.157,-72,-1.641,"2,561.90",875.40,-50,7100,-,-
572,Greif,4515.00,-0.017,108.8,-0.364,"5,510.90",2771.70,12,16000,-,-
573,Yellow,4513.70,-0.073,-53.5,-,"2,185.80",449.90,-16,30000,-,-
574,First Republic Bank,4506.90,0.084,"1,064.20",0.144,"142,502.10",29390.00,53,5483,-,-
575,Perspecta,4504.00,-,-676,-,"5,405",4679.10,-,14000,-,-
576,Nexstar Media Group,4501.30,0.481,811.4,2.524,"13,404.30",6092.50,199,11749,-,-
577,Meritage Homes,4501.20,0.228,423.5,0.696,"3,864.40",3448.10,96,1570,-,-
578,Under Armour,4474.70,-0.15,-549.2,-6.96,"5,030.60",9161.90,-49,11800,-,-
579,Warner Music Group,4463.00,-0.003,-475,-2.855,"6,410",17657.70,19,5500,-,-
580,Levi Strauss,4452.60,-0.227,-127.1,-1.322,"5,641.20",9559.80,-85,14800,-,-
581,Zebra Technologies,4448.00,-0.008,504,-0.074,"5,375",25941.30,15,8800,-,-
582,Juniper Networks,4445.10,-,257.8,-0.253,"9,378.30",8285.10,19,9950,-,-
583,loanDepot,4443.60,2.028,"2,013.10",57.487,"10,893.20",6089.10,-,11763,-,-
584,Prologis,4438.70,0.333,"1,481.80",-0.058,"56,065",78412.90,143,1945,-,-
585,Dillard's,4433.20,-0.301,-71.7,-1.645,"3,092.50",2123.70,-117,24000,-,-
586,Syneos Health,4415.80,-0.056,192.8,0.469,"8,063.30",7905.10,-9,24386,-,-
587,Lululemon Athletica,4401.90,0.106,588.9,-0.088,"4,185.20",39985.10,-,25000,-,-
588,Flowers Foods,4388.00,0.064,152.3,-0.074,"3,323",5038.50,43,9200,-,-
589,Edwards Lifesciences,4386.30,0.009,823.4,-0.213,"7,237.10",52027.10,24,14900,-,-
590,Vertiv Holdings,4370.60,-0.014,-183.6,-,"5,073.80",7028.80,13,20972,-,-
591,Intuitive Surgical,4358.40,-0.027,"1,060.60",-0.231,"11,168.90",87474.30,6,8081,-,-
592,Brunswick,4347.50,-0.046,372.7,-,"3,770.60",7436.20,-2,14382,-,-
593,Covetrus,4339.00,-,-19,-,"3,496",4084.10,-,5466,-,-
594,Workday,4318.00,0.19,-282.4,-,"8,718.40",60368.50,82,12500,-,-
595,APA,4308.00,-0.328,"-4,860",-,"12,746",6765.60,-130,2272,-,-
596,Hilton Worldwide Holdings,4307.00,-0.544,-715,-1.812,"16,755",33568.30,-258,141000,-,-
597,Insperity,4287.00,-0.006,138.2,-0.085,"1,584.30",3199.90,18,3600,-,-
598,Leggett & Platt,4280.20,-0.099,247.6,-0.258,"4,754",6070.90,-29,20400,-,-
599,Carlisle,4245.20,-0.118,320.1,-0.323,"5,866.40",8670.00,-36,12500,-,-
600,JELD-WEN Holding,4235.70,-0.013,91.6,0.454,"3,964.70",2770.00,18,23000,-,-
601,Keysight Technologies,4221.00,-0.019,627,0.01,"7,218",26684.50,16,13900,-,-
602,Hubbell,4186.00,-0.088,351.2,-0.124,"5,085.10",10151.30,-16,19100,-,-
603,KB Home,4183.20,-0.081,296.2,0.102,"5,356.40",4268.00,-12,1776,-,-
604,Conduent,4163.00,-0.068,-118,-,"4,256",1412.90,-5,63000,-,-
605,Iron Mountain,4147.30,-0.027,342.7,0.282,"14,149.30",10674.50,14,24000,-,-
606,Landstar System,4136.40,0.011,192.1,-0.156,"1,653.80",6339.70,29,1320,-,-
607,Scotts Miracle-Gro,4131.60,0.309,387.4,-0.159,"3,380.50",13645.60,146,6866,-,-
608,Equifax,4127.50,0.177,520.1,-,"9,611.80",22174.50,84,11400,-,-
609,CF Industries Holdings,4124.10,-0.102,317,-0.357,"12,022.80",9732.10,-22,3038,-,-
610,Domino's Pizza,4117.40,0.138,491.3,0.226,"1,567.20",14270.40,69,10650,-,-
611,Weis Markets,4112.60,0.161,118.9,0.749,"1,820.40",1520.30,75,24000,-,-
612,Gartner,4099.40,-0.034,266.7,0.143,"7,316",16196.10,9,15600,-,-
613,SVB Financial Group,4081.80,0.156,"1,208.40",0.063,"115,511",26602.60,75,4461,-,-
614,Harley-Davidson,4054.40,-0.244,1.3,-0.997,"12,010.60",6147.90,-95,5150,-,-
615,CUNA Mutual Group,4049.30,-0.018,145.5,-0.338,"28,490.90",-,17,3600,-,-
616,Mahwah Bergen Retail Group,4044.70,-0.352,"-1,141.80",-,"2,334.10",-,-143,22000,-,-
617,Paychex,4040.50,0.071,"1,098.10",0.062,"8,550.70",35349.10,45,15700,-,-
618,TriNet Group,4034.00,0.046,272,0.283,"3,043",5144.60,39,2700,-,-
